Issue_URL,Label1,Label2,Label3,Label4,Label5,Label6,Label7,Final_Label
https://github.com/mindspore-lab/mindnlp/issues/2029,A.3,A.3,A.3,A.3,A.4,A.3,A.3,A.3
https://github.com/mindspore-lab/mindnlp/issues/2028,B.2,B.1,B.2,B.2,B.2,B.4,B.2,B.2
https://github.com/mindspore-lab/mindnlp/issues/2027,B.2,B.2,C.7,B.1,B.2,B.2,B.2,B.2
https://github.com/mindspore-lab/mindnlp/issues/2026,B.2,B.2,B.2,B.2,B.2,B.2,B.2,B.2
https://github.com/mindspore-lab/mindnlp/issues/2025,B.2,B.2,B.2,B.2,B.1,B.2,B.1,B.2
https://github.com/mindspore-lab/mindnlp/issues/2024,C.5,C.5,C.5,C.5,C.5,C.5,C.5,C.5
https://github.com/mindspore-lab/mindnlp/issues/2023,B.2,B.2,B.2,B.2,C.7,B.2,B.2,B.2
https://github.com/mindspore-lab/mindnlp/issues/2022,B.2,C.5,B.2,B.2,B.2,B.2,B.2,B.2
https://github.com/mindspore-lab/mindnlp/issues/2021,C.9,C.9,C.9,C.9,C.9,C.9,C.8,C.9
https://github.com/mindspore-lab/mindnlp/issues/2020,A.3,A.3,A.3,A.3,A.3,A.2,A.3,A.3
https://github.com/mindspore-lab/mindnlp/issues/2019,C.5,B.3,C.5,C.5,C.5,C.5,C.5,C.5
https://github.com/mindspore-lab/mindnlp/issues/2018,B.2,B.2,B.3,B.2,B.2,B.4,B.2,B.2
https://github.com/mindspore-lab/mindnlp/issues/2017,B.1,B.2,B.1,B.1,B.1,B.1,B.1,B.1
https://github.com/mindspore-lab/mindnlp/issues/2016,B.3,B.1,B.1,B.1,B.1,B.1,B.1,B.1
https://github.com/mindspore-lab/mindnlp/issues/2015,B.1,B.1,B.2,B.1,B.1,B.1,B.3,B.1
https://github.com/mindspore-lab/mindnlp/issues/2014,B.2,B.2,B.2,B.2,B.2,B.2,B.2,B.2
https://github.com/mindspore-lab/mindnlp/issues/2013,B.2,B.2,B.2,B.2,B.2,C.5,B.2,B.2
https://github.com/mindspore-lab/mindnlp/issues/2012,B.1,B.1,B.1,B.1,B.1,B.1,B.1,B.1
https://github.com/mindspore-lab/mindnlp/issues/2011,C.5,C.3,C.5,C.5,C.5,C.5,C.3,C.5
https://github.com/mindspore-lab/mindnlp/issues/2010,C.5,C.5,C.2,C.5,C.5,B.2,C.5,C.5
https://github.com/mindspore-lab/mindnlp/issues/2009,C.5,C.5,B.2,C.5,C.5,C.1,C.5,C.5
https://github.com/mindspore-lab/mindnlp/issues/2008,B.2,B.2,C.5,B.2,B.2,B.2,B.2,B.2
https://github.com/mindspore-lab/mindnlp/issues/2007,C.2,C.5,C.5,C.5,C.5,C.5,C.5,C.5
https://github.com/mindspore-lab/mindnlp/issues/2006,C.5,C.5,C.5,C.5,C.5,C.5,C.5,C.5
https://github.com/mindspore-lab/mindnlp/issues/2005,C.5,C.6,C.5,C.5,C.8,C.4,C.5,C.5
https://github.com/mindspore-lab/mindnlp/issues/2004,B.1,B.1,B.1,B.1,B.1,B.1,B.1,B.1
https://github.com/mindspore-lab/mindnlp/issues/2003,B.2,B.2,B.2,B.2,B.2,B.2,B.3,B.2
https://github.com/mindspore-lab/mindnlp/issues/2002,C.5,C.5,C.7,C.5,C.5,C.3,B.2,C.5
https://github.com/mindspore-lab/mindnlp/issues/2001,A.2,A.3,A.2,A.2,A.2,A.3,A.2,A.2
https://github.com/mindspore-lab/mindnlp/issues/2000,C.9,C.9,C.9,C.9,C.9,C.9,C.7,C.9
https://github.com/mindspore-lab/mindnlp/issues/1999,B.1,B.1,B.1,B.1,B.1,B.1,B.1,B.1
https://github.com/mindspore-lab/mindnlp/issues/1998,A.3,A.3,A.2,A.3,A.4,A.3,A.3,A.3
https://github.com/mindspore-lab/mindnlp/issues/1997,B.2,B.2,C.5,B.2,B.2,B.2,B.2,B.2
https://github.com/mindspore-lab/mindnlp/issues/1996,C.5,C.5,C.5,C.5,C.5,C.5,B.2,C.5
https://github.com/mindspore-lab/mindnlp/issues/1995,C.5,C.5,C.5,C.5,C.5,C.5,C.5,C.5
https://github.com/mindspore-lab/mindnlp/issues/1994,B.2,C.5,C.5,C.5,C.5,C.5,C.5,C.5
https://github.com/mindspore-lab/mindnlp/issues/1993,C.9,C.9,C.9,C.1,C.9,C.9,C.9,C.9
https://github.com/mindspore-lab/mindnlp/issues/1992,C.6,C.5,C.5,C.5,C.5,C.4,C.2,C.5
https://github.com/mindspore-lab/mindnlp/issues/1991,C.2,C.9,C.9,C.10,C.9,C.9,C.9,C.9
https://github.com/mindspore-lab/mindnlp/issues/1990,B.2,B.3,B.3,B.2,B.2,B.1,B.2,B.2
https://github.com/mindspore-lab/mindnlp/issues/1989,C.9,C.9,C.9,C.5,C.9,C.9,C.9,C.9
https://github.com/mindspore-lab/mindnlp/issues/1988,B.1,B.1,B.1,B.1,B.1,B.1,B.1,B.1
https://github.com/mindspore-lab/mindnlp/issues/1987,A.3,A.4,A.3,A.3,A.3,A.3,A.3,A.3
https://github.com/mindspore-lab/mindnlp/issues/1986,C.5,C.5,C.5,C.5,C.6,C.5,C.5,C.5
https://github.com/mindspore-lab/mindnlp/issues/1985,A.3,A.3,A.3,A.1,A.1,A.3,A.3,A.3
